productAsin,country,date,isVerified,ratingScore,reviewTitle,reviewDescription,reviewUrl,reviewedIn,variant,variantAsin,year,month,reviewLength,cleanedReview,sentiment,sentiment_label
B09G9BL5CP,India,2022-02-06,True,5,Truly worth the money spent! Even if you go broke!,"My honest review after going broke buying this depreciating object.I have been using android phones since the last 10 years and finally decided to switch to iPhone! I used to roast iPhone for its prices, lack of features and also things like power adapter not given in box etc, but my last android phone (iqoo 7 legend) had lot of software related issues and battery issues after updating it to android 12, tired of bugs and software glitches in android, I finally decided to buy a iPhone and switch from android to iOS And Boy Was I right!I never even held an iPhone In my life before because of its price, but now I made a great choice even if I had to spend all my savings on it.iPhone 13 is so smooth that even my IQOO 7 Legend with 120hz feels slower than it even if iPhone has only 60hz. And I can’t believe what I’m seeing, all the games/apps are so much smoother and optimised than on android.I was very sceptical about the charging speed of an iPhone Because in Iqoo I had 66w fast charger where as for iPhone I had to buy 20w separate fast charger for 1800rs, but charging speed isn’t disappointing.Display quality is truly flagship level and I’m quite a fan of the small 6.1 display believe it or not, being able to reach the top of display with just one hand is very helpful, Build quality is great.I would recommend NOT to waste extra 40k for buying 13 pro. Because I don’t think having a extra camera telephoto lens is worth spending 40k.You can see in the 3rd image attached the quality of wide angle camera pic shot on my iPhone 13, wide angle camera struggles in low light, but main camera is really good, captures true colours. Front camera is really good too, truly flagship.Speakers are Great.Battery life is better than my previous devices,iOS is very optimised in terms of battery life, easy 8hrs sot on normal usage.NOTE : While playing BGMI you loose around 2% battery every 6minutes at HD + Extreme Graphics. Which is also good. Pro Max Would Be far better in terms of battery.For the software? Yes I feel like there are few downsides, even if the software is very smooth and has very less bugs, it has two annoying things : any game gets paused when you open control centre just to check the battery etc, Lock Screen is annoying and also having to reach the top left corner just to see notifications is also annoying, clearing all notifications is also very annoying.But other than that a perfect 10/10 purchase. I was very disappointed at myself when I paid for the iPhone but when I received it I was truly happy that I bought it.Truly worth it.",https://www.amazon.in/gp/customer-reviews/R1ROPVLONGNUAZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 6 February 2022,Colour: PinkSize: 256 GB,B09G9HRYFZ,2022,2,2573,honest review going broke buying depreciating objecti using android phones since last 10 years finally decided switch iphone used roast iphone prices lack features also things like power adapter not given box etc last android phone iqoo 7 legend lot software related issues battery issues updating android 12 tired bugs software glitches android finally decided buy iphone switch android ios boy righti never even held iphone life price made great choice even spend savings itiphone 13 smooth even iqoo 7 legend 120hz feels slower even iphone 60hz ’ believe ’ seeing gamesapps much smoother optimised androidi sceptical charging speed iphone iqoo 66w fast charger iphone buy 20w separate fast charger 1800rs charging speed ’ disappointingdisplay quality truly flagship level ’ quite fan small 61 display believe not able reach top display one hand helpful build quality greati would recommend not waste extra 40k buying 13 pro ’ think extra camera telephoto lens worth spending 40kyou see 3rd image attached quality wide angle camera pic shot iphone 13 wide angle camera struggles low light main camera really good captures true colours front camera really good truly flagshipspeakers greatbattery life better previous devicesios optimised terms battery life easy 8hrs sot normal usagenote playing bgmi loose around 2 battery every 6minutes hd extreme graphics also good pro max would far better terms batteryfor software yes feel like downsides even software smooth less bugs two annoying things game gets paused open control centre check battery etc lock screen annoying also reach top left corner see notifications also annoying clearing notifications also annoyingbut perfect 1010 purchase disappointed paid iphone received truly happy bought ittruly worth,0.11552181736392261,Neutral
B09G9BL5CP,India,2024-07-06,True,5,I love it,Nice,https://www.amazon.in/gp/customer-reviews/R66RSI0SENEH2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 6 July 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ,2024,7,4,nice,0.6,Positive
B09G9BL5CP,India,2024-05-18,True,5,It’s a legit iPhone,It’s a perfect iPhone I highly recommend this seller . Great price on their sale. The phone is good,https://www.amazon.in/gp/customer-reviews/R2S11RNO5ELEDP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 18 May 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ,2024,5,99,’ perfect iphone highly recommend seller great price sale phone good,0.665,Positive
B09G9BL5CP,India,2024-03-11,True,5,Worth every penny,What I like about this phone is that it is quite reasonable comparing other iphones and Is very good and nice to use.,https://www.amazon.in/gp/customer-reviews/R2B0L31IXBMHLA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 11 March 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ,2024,3,117,like phone quite reasonable comparing iphones good nice use,0.39625,Positive
B09G9BL5CP,India,2023-10-12,True,4,Nice.,I bought the product little expensive. Within a month price dropped by Rs.17000.,https://www.amazon.in/gp/customer-reviews/R1BZJOMYXF9K7M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 12 October 2023,Colour: PinkSize: 256 GB,B09G9HRYFZ,2023,10,80,bought product little expensive within month price dropped rs17000,-0.34375,Negative
B09G9BL5CP,India,2022-03-11,True,5,Worth the product,"Though we talk a lot about high price for iPhones, this is worth the amount. Smooth touch, perfect to hold in hand. For the screen size of 6.1"", it looks small overall. I could have gone for pro max but more than 1.5L budget is way too much for me :-)* Good battery back-up (With low battery mode always on, 5 hours of talk-time, around 2 hours of twitter and 2 hours of whatsapp usage, 1 hour of songs listening, 1 hour of rummy/candy crush games and notification of all these items, the battery comes for more than 24 hours for me)* Getting charged quickly from 20% to 100% within 2 hours* Perfect camera and I love that 'Live' photo option* Body design is awesome. When I held it in my hand for the first time, felt really happy about the design and the size of the iPhone 13.",https://www.amazon.in/gp/customer-reviews/RUT3AECX0D2CJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 11 March 2022,Colour: PinkSize: 256 GB,B09G9HRYFZ,2022,3,779,though talk lot high price iphones worth amount smooth touch perfect hold hand screen size 61 looks small overall could gone pro max 15l budget way much good battery backup low battery mode always 5 hours talktime around 2 hours twitter 2 hours whatsapp usage 1 hour songs listening 1 hour rummycandy crush games notification items battery comes 24 hours getting charged quickly 20 100 within 2 hours perfect camera love live photo option body design awesome held hand first time felt really happy design size iphone 13,0.422615629984051,Positive
B09G9BL5CP,India,2023-10-31,True,3,It's been a week since I've been using this phone,Works just fine nothing special the camera is also good but during night it's not what I expected it to be and you have to charge the phone twice if you use it a lot it also heat sometimes it it doesn't like but sometimes it doesn't feel very smooth I don't know if it's value for money,https://www.amazon.in/gp/customer-reviews/R2WHHBNWQ6YL9K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 31 October 2023,Colour: PinkSize: 256 GB,B09G9HRYFZ,2023,10,286,works fine nothing special camera also good night not expected charge phone twice use lot also heat sometimes doesnt like sometimes doesnt feel smooth dont know value money,0.37876190476190474,Positive
B09G9BL5CP,India,2023-11-29,True,5,Great,Loved it,https://www.amazon.in/gp/customer-reviews/RZQ10EXG69IQX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 29 November 2023,Colour: PinkSize: 256 GB,B09G9HRYFZ,2023,11,8,loved,0.7,Positive
B09G9BL5CP,India,2022-09-08,True,5,Same as shown in pictures,There’s no same day delivery Phone was delivered to me in 3-4 days. I had to purchase  the phone thrice so on the third attempt I finally received the phone. Battery life is better than iPhone XR. Phone is same as shown in pictures. Amazon refund policy is good. I received both refunds within 24 hours.,https://www.amazon.in/gp/customer-reviews/R1ZGOKCP4HIKP0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 8 September 2022,Colour: PinkSize: 256 GB,B09G9HRYFZ,2022,9,303,’ no day delivery phone delivered 34 days purchase phone thrice third attempt finally received phone battery life better iphone xr phone shown pictures amazon refund policy good received refunds within 24 hours,0.19999999999999998,Neutral
B09G9BL5CP,India,2024-02-14,True,2,My device is not working need help,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document,https://www.amazon.in/gp/customer-reviews/R2TDE5OQNJ9WJR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 14 February 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ,2024,2,143,device not working switched offiam not able download invoice warranty documenthow get itservice center asking document,-0.175,Neutral
B09G9BL5CP,India,2024-08-06,True,5,Its the best,Best,https://www.amazon.in/gp/customer-reviews/RB5GEL844W4OU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 6 August 2024,Colour: BlueSize: 256 GB,B09G93H3BR,2024,8,4,best,1.0,Positive
B09G9BL5CP,India,2024-06-25,True,3,Not worth,Not worth,https://www.amazon.in/gp/customer-reviews/R3S8NCTCPRK90Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 25 June 2024,Colour: BlueSize: 256 GB,B09G93H3BR,2024,6,9,not worth,-0.15,Neutral
B09G9BL5CP,India,2024-05-12,True,3,Improved version of iPhone 11,Nothing new features only model changed,https://www.amazon.in/gp/customer-reviews/R2QO7SAC741QEC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 12 May 2024,Colour: BlueSize: 256 GB,B09G93H3BR,2024,5,39,nothing new features model changed,0.06818181818181818,Neutral
B09G9BL5CP,India,2024-07-21,True,2,Doubtful,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.,https://www.amazon.in/gp/customer-reviews/R2QYG29TK95ACF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 21 July 2024,Colour: BlueSize: 256 GB,B09G93H3BR,2024,7,112,seals teared stricker put dont know whether new refurbished working 😕😕😕,0.06818181818181818,Neutral
B09G9BL5CP,India,2023-11-04,True,5,Amazing and Best value for money Iphone,"This phone has well balanced HD oled sDisplay. Colours are accurate. Camera quality is very good even with 12 MP cameras. Selfies and portrait look good, but selfies indoor required little improvement which can be done through software. Battery back up is great. Faster transfer using Airdrop. I am getting a 1 and half day of battery backup with normal usage. Overall a perfect smartphone with ios experience.",https://www.amazon.in/gp/customer-reviews/R1IOPFMC9XS0GR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 4 November 2023,Colour: BlueSize: 256 GB,B09G93H3BR,2023,11,410,phone well balanced hd oled sdisplay colours accurate camera quality good even 12 mp cameras selfies portrait look good selfies indoor required little improvement done software battery back great faster transfer using airdrop getting 1 half day battery backup normal usage overall perfect smartphone ios experience,0.3605833333333333,Positive
B09G9BL5CP,India,2024-02-15,True,5,Good,Good not like android,https://www.amazon.in/gp/customer-reviews/R1SB54DZIRZFGI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 15 February 2024,Colour: BlueSize: 256 GB,B09G93H3BR,2024,2,21,good not like android,0.7,Positive
B09G9BL5CP,India,2024-08-07,False,4,Camera is impressive but i am not happy with battery's,No review text provided,https://www.amazon.in/gp/customer-reviews/R15DK15UHWE5WQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 7 August 2024,Colour: BlueSize: 256 GB,B09G93H3BR,2024,8,23,no review text provided,0.0,Neutral
B09G9BL5CP,India,2024-01-24,True,5,Supar mobile phone,Good charge,https://www.amazon.in/gp/customer-reviews/R386I6XKKRUPQN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 24 January 2024,Colour: BlueSize: 256 GB,B09G93H3BR,2024,1,11,good charge,0.7,Positive
B09G9BL5CP,India,2022-04-07,True,4,Good but it’s not recommended to all,Actually I’m android user now switched to iPhone user experience is good but camera quality isn’t meet my expectations when taken photos on day times and little low lights you’ll get good quality photos. Night mode is worst. Battery is good for moderate users. Phone is very compact and display quality really awesome. My conclusion if you looking for privacy and protect from hackers definitely iPhone is safe. Those who are all moderate user and then buy this model,https://www.amazon.in/gp/customer-reviews/R334THP5JBZCC7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 7 April 2022,Colour: BlueSize: 256 GB,B09G93H3BR,2022,4,467,actually ’ android user switched iphone user experience good camera quality ’ meet expectations taken photos day times little low lights ’ get good quality photos night mode worst battery good moderate users phone compact display quality really awesome conclusion looking privacy protect hackers definitely iphone safe moderate user buy model,0.20096153846153844,Neutral
B09G9BL5CP,India,2023-12-10,True,5,Good,Very good I am happy,https://www.amazon.in/gp/customer-reviews/R2PVS4ORKRAUKA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 10 December 2023,Colour: BlueSize: 256 GB,B09G93H3BR,2023,12,20,good happy,0.855,Positive
B09G9BL5CP,India,2024-08-10,True,4,Good,Works fine,https://www.amazon.in/gp/customer-reviews/RLSUAWT4HS9DS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 10 August 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,2024,8,10,works fine,0.4166666666666667,Positive
B09G9BL5CP,India,2024-07-18,True,4,Good,Cool,https://www.amazon.in/gp/customer-reviews/RV70X0EJA15YG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 18 July 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,2024,7,4,cool,0.35,Positive
B09G9BL5CP,India,2024-08-22,True,5,Apple phone,"As it is an apple product, quality is ensured and proven",https://www.amazon.in/gp/customer-reviews/R159GE2Q7WQVXW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 22 August 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,2024,8,56,apple product quality ensured proven,0.0,Neutral
B09G9BL5CP,India,2024-07-07,True,5,Dear Apple,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback,https://www.amazon.in/gp/customer-reviews/R2FR17VE2M2MWJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 7 July 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,2024,7,93,phone bent reason kindly infirm check warrenty period get feedback,0.6,Positive
B09G9BL5CP,India,2024-06-01,True,5,excellent,fine,https://www.amazon.in/gp/customer-reviews/R3MSUJ1PH2TDUF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 1 June 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,2024,6,4,fine,0.4166666666666667,Positive
B09G9BL5CP,India,2023-10-11,True,5,It's good for content creation,"I mainly bought it for content creation because the software optimization was good and also because I use macbook air so data transfer between iphone is quicker than the android one, basically less hassle.Love the photo and video quality.It's also mostly for work than personal use. Customization is a bit hard but I also use android as primary phone so not an issue for me.Overall a good purchase for me.",https://www.amazon.in/gp/customer-reviews/R3DEEQS24TWLBD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 11 October 2023,Colour: GreenSize: 256 GB,B09V4MXBSN,2023,10,405,mainly bought content creation software optimization good also use macbook air data transfer iphone quicker android one basically less hasslelove photo video qualityits also mostly work personal use customization bit hard also use android primary phone not issue meoverall good purchase,0.2510416666666666,Neutral
B09G9BL5CP,India,2024-07-02,True,2,No airdrop and personal hotspot .,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHave  personal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone .",https://www.amazon.in/gp/customer-reviews/R1293VGUFGE1PA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 2 July 2024,Colour: GreenSize: 256 GB,B09V4MXBSN,2024,7,287,bought iphone 13 manufacturing defect phone ’ thave personal hotspot airdrop ’ blocked not turning deception ’ afford foreign friend bought iphone not position even return iphone,-0.0625,Neutral
B09G9BL5CP,India,2023-10-29,True,4,Bawal chij hai be..😀,No review text provided,https://www.amazon.in/gp/customer-reviews/R2LG7DDX5HRCIS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 29 October 2023,Colour: GreenSize: 256 GB,B09V4MXBSN,2023,10,23,no review text provided,0.0,Neutral
B09G9BL5CP,India,2023-11-29,True,5,Amazing phone,I received iPhone 13 timely.Product is working great.It improved my lifestyle  as  well.Camera quality is awesome. Battery performance is pretty good.Thanks to Amazon for your great service.,https://www.amazon.in/gp/customer-reviews/R2WIVLELOU57FV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 29 November 2023,Colour: GreenSize: 256 GB,B09V4MXBSN,2023,11,190,received iphone 13 timelyproduct working greatit improved lifestyle wellcamera quality awesome battery performance pretty goodthanks amazon great service,0.6833333333333332,Positive
B09G9BL5CP,India,2023-11-06,True,3,"Not that great deal. Battery performance, heating,hanging","Facing heating issue, Battery performance is not that good. On screen 12 hrs only as of now. Hanging in between, which we didn’t expect from Apple. Look is fantastic. Small while compared to XR.",https://www.amazon.in/gp/customer-reviews/R25O25F7KZX2DP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 6 November 2023,Colour: GreenSize: 256 GB,B09V4MXBSN,2023,11,194,facing heating issue battery performance not good screen 12 hrs hanging ’ expect apple look fantastic small compared xr,0.21250000000000002,Neutral
B09G9BL5CP,India,2024-08-19,True,4,Stunning Design and a Beautiful Pink!,"I finally upgraded from my trusty iPhone 5s to the iPhone 13, and let me tell you, it feels like I’ve time-traveled from the past to the future! The pink color is absolutely gorgeous—it's the perfect blend of subtle and stylish, making the phone look sleek and modern. I’ve received so many compliments on it already.The design is everything you’d expect from Apple: premium, well-crafted, and just a pleasure to hold. Coming from a 5s, it’s almost like I was using a rotary phone before this. I half-expected Siri to say, “Welcome to the 21st century!”The display is bright and vibrant, the camera is a huge leap forward, and the overall performance is incredibly smooth. It’s crazy how much has changed—face ID feels like magic, and the battery life is a dream compared to my old 5s, which needed a charger practically glued to it.If you’re thinking about upgrading, especially if you’re coming from a much older model like I was, don’t hesitate. This iPhone 13 in pink is a stunner and well worth the leap!",https://www.amazon.in/gp/customer-reviews/RJID7UME915NJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 19 August 2024,Colour: PinkSize: 128 GB,B09G9FPGTN,2024,8,1009,finally upgraded trusty iphone 5s iphone 13 let tell feels like ’ timetraveled past future pink color absolutely gorgeous—its perfect blend subtle stylish making phone look sleek modern ’ received many compliments alreadythe design everything ’ expect apple premium wellcrafted pleasure hold coming 5s ’ almost like using rotary phone halfexpected siri say “ welcome 21st century ” display bright vibrant camera huge leap forward overall performance incredibly smooth ’ crazy much changed—face id feels like magic battery life dream compared old 5s needed charger practically glued itif ’ thinking upgrading especially ’ coming much older model like ’ hesitate iphone 13 pink stunner well worth leap,0.193,Neutral
B09G9BL5CP,India,2024-09-04,True,5,My favourite 🤩,"I really wanted to get an iPhone and it is my first iPhone but i loved it the sound quality is great and it charges fast, the phone is a bit heavy but it looks classy the display also works well and the camera is the best 🤍🤍",https://www.amazon.in/gp/customer-reviews/R33TKN32S1HW1S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 4 September 2024,Colour: PinkSize: 128 GB,B09G9FPGTN,2024,9,224,really wanted get iphone first iphone loved sound quality great charges fast phone bit heavy looks classy display also works well camera best 🤍🤍,0.3833333333333333,Positive
B09G9BL5CP,India,2024-06-22,True,5,Still one of best base flagships out there in 2024,"Things I liked:1. Solid Build Quality and very polished software (compared to Samsung's One UI)2. Camera:-Rear: Rear camera is pretty decent with good color accuracy in all lighting conditions. Videos are steady and smooth.3. Mic / Speakers: Mic is exceptionally well, isolates all background sounds in noisy situations. Speakers are crisp with good bass.4. Performance: This is where the phone shines, you can throw any app available on the App store and it will run it without breaking a sweat.5. Face Id works like charm, it's the best biometric phone lock out there undoubtedly.Things I wish were better:1. Battery life would have been better, I get up to 4.30 - 5 Hours SOT with mixed usage (high brightness, 1 hour calls, 2-3 hour social media, and 2 hour media playback/music)2. Charges Slow compared to my earlier Samsung. Takes almost 1.2 Hours from 20% to 80%3. Front camera is average, it fails to get correct skin tones and lighting. I keep it on default and still it produces over saturated photos.4. Dialer / phone app sucks. I am someone who makes up to 200 calls a day due to nature of my SCM work. Dialer on Samsung is far better. For unknown call you can add a note to the number in Samsung and it reflect when the person call you again, without having to save unnecessary contacts. Number pad does not detect contact unless complete number is typed.",https://www.amazon.in/gp/customer-reviews/R1HV1XFKSZBWYV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 22 June 2024,Colour: PinkSize: 128 GB,B09G9FPGTN,2024,6,1368,things liked1 solid build quality polished software compared samsungs one ui2 camerarear rear camera pretty decent good color accuracy lighting conditions videos steady smooth3 mic speakers mic exceptionally well isolates background sounds noisy situations speakers crisp good bass4 performance phone shines throw app available app store run without breaking sweat5 face id works like charm best biometric phone lock undoubtedlythings wish better1 battery life would better get 430 5 hours sot mixed usage high brightness 1 hour calls 23 hour social media 2 hour media playbackmusic2 charges slow compared earlier samsung takes almost 12 hours 20 803 front camera average fails get correct skin tones lighting keep default still produces saturated photos4 dialer phone app sucks someone makes 200 calls day due nature scm work dialer samsung far better unknown call add note number samsung reflect person call without save unnecessary contacts number pad not detect contact unless complete number typed,0.15455128205128205,Neutral
B09G9BL5CP,India,2024-09-18,True,5,Awesome product,Each and every thingLove this Product,https://www.amazon.in/gp/customer-reviews/RW6X30Q0YBOIL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 18 September 2024,Colour: PinkSize: 128 GB,B09G9FPGTN,2024,9,37,every thinglove product,0.0,Neutral
B09G9BL5CP,India,2024-09-19,True,5,The way it was fast.,I liked the way it was fast.,https://www.amazon.in/gp/customer-reviews/R2SFHRM8IJBAKW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 19 September 2024,Colour: PinkSize: 128 GB,B09G9FPGTN,2024,9,28,liked way fast,0.4,Positive
